text,label
Welcome to the team looking forward to working with you,ham
Hey are we still meeting for lunch tomorrow at noon,ham
Good morning everyone hope you have a productive day,ham
Thanks for sending the project files I will check them tonight,ham
Make money fast from home no experience required guaranteed income,spam
Your social security number has been compromised call support now,spam
Please find the invoice attached for last month services,ham
The code review comments have been addressed in the latest commit,ham
Verify your identity with this one-time password link,spam
Free entry in a weekly competition to win an exclusive prize click here now,spam
Limited time offer buy now and get fifty percent off click www.deal.scam,spam
Please review the attached quarterly report before the standup,ham
Act now to claim your lottery winnings send bank details today,spam
Account locked due to suspicious activity click to unlock,spam
Wire transfer required to release your inheritance funds,spam
Let me know if you need help with the presentation slides,ham
Congratulations you have won a free cruise call this number immediately,spam
URGENT verify your account password at http://fake-bank.com/login,spam
Could you approve my leave request for next week,ham
Your package is waiting confirm your address and credit card details,spam
I updated the documentation based on your feedback,ham
Database backup finished without errors,ham
Can you share the meeting notes from yesterday afternoon,ham
The server maintenance window is scheduled for Sunday night,ham
Reminder team outing is scheduled for Friday at the campus cafe,ham
Dear user your mailbox storage is full verify credentials here,spam
Exclusive discount code expires tonight visit suspicious-link.net,spam
Free iPhone winner claim your device by submitting personal info,spam
The deployment completed successfully all services are healthy,ham
Reset your password immediately or your account will be suspended,spam
